Row_ID,date,state,state_name,death,deathConfirmed,deathIncrease,hospitalizedCurrently,hospitalizedCumulative,hospitalizedIncrease,inIcuCurrently,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,negative,negativeIncrease,totalTestResults,totalTestResultsIncrease,totalTestsViral,totalTestsViralIncrease,totalTestsPeopleViral,totalTestsPeopleViralIncrease,recovered
00183,2020-03-04,NY,New York,0,0,0,0,0,0,0,0,1,0,0,0,0,10,9,0,0,0,0,0
00184,2020-03-04,PA,Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
00185,2020-03-04,RI,Rhode Island,0,0,0,0,0,0,0,0,2,0,0,15,10,7,2,19,12,17,10,0
00186,2020-03-04,SC,South Carolina,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0
00187,2020-03-04,TX,Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,20,14,0,0,0
00188,2020-03-04,VA,Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,6452,1,0,0,0,0,0
00189,2020-03-04,VT,Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0
00190,2020-03-04,WA,Washington,16,0,2,0,0,0,0,0,93,93,34,0,0,782,251,0,0,768,245,0
00191,2020-03-04,WI,Wisconsin,0,0,0,0,0,0,0,0,1,1,1,19,19,7,0,0,0,0,0,0
00192,2020-03-04,WY,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,0
00193,2020-03-05,AZ,Arizona,0,0,0,0,5,1,0,0,2,0,0,28,1,63,30,63,30,30,1,0
00194,2020-03-05,CA,California,0,0,0,0,0,0,0,0,53,53,0,462,0,515,0,515,0,0,0,0
00195,2020-03-05,CO,Colorado,0,0,0,0,0,0,0,0,2,0,0,46,27,0,0,0,0,0,0,0
00196,2020-03-05,CT,Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,36,12,36,12,0,0,0
